,OBJECTID_1,INCIDENT_ID,OFFENSE_ID,OFFENSE_CODE,OFFENSE_CODE_EXTENSION,TOP_TRAFFIC_ACCIDENT_OFFENSE,FIRST_OCCURRENCE_DATE,LAST_OCCURRENCE_DATE,REPORTED_DATE,INCIDENT_ADDRESS,GEO_X,GEO_Y,GEO_LON,GEO_LAT,DISTRICT_ID,PRECINCT_ID,NEIGHBORHOOD_ID,BICYCLE_IND,PEDESTRIAN_IND,HARMFUL_EVENT_SEQ_1,HARMFUL_EVENT_SEQ_2,HARMFUL_EVENT_SEQ_3,ROAD_LOCATION,ROAD_DESCRIPTION,ROAD_CONTOUR,ROAD_CONDITION,LIGHT_CONDITION,TU1_VEHICLE_TYPE,TU1_TRAVEL_DIRECTION,TU1_VEHICLE_MOVEMENT,TU1_DRIVER_ACTION,TU1_DRIVER_HUMANCONTRIBFACTOR,TU1_PEDESTRIAN_ACTION,TU2_VEHICLE_TYPE,TU2_TRAVEL_DIRECTION,TU2_VEHICLE_MOVEMENT,TU2_DRIVER_ACTION,TU2_DRIVER_HUMANCONTRIBFACTOR,TU2_PEDESTRIAN_ACTION,SERIOUSLY_INJURED,FATALITIES,FATALITY_MODE_1,FATALITY_MODE_2,SERIOUSLY_INJURED_MODE_1,SERIOUSLY_INJURED_MODE_2,Date,Latitude,Longitude
83342,83343,2015442771.0,201544277154410,5441,0,TRAF - ACCIDENT               ,2015-08-04 17:32:00,,2015-08-04 17:32:00,W 11TH AVE / N ACOMA ST,3143760.0,1692590.0,-104.988844795,39.7338528732,6.0,611.0,Civic Center,1.0,0.0,BICYCLE WITH OTHER VEHICLE,  ,BICYCLE WITH OTHER VEHICLE,ON ROADWAY,AT INTERSECTION,STRAIGHT ON-LEVEL,DRY,DAY LIGHT,PICKUP TRUCK/UTILITY VAN,WEST,MAKING LEFT TURN,FAILED TO YIELD ROW,AGGRESSIVE DRIVING,  ,BICYCLE,EAST,GOING STRAIGHT,OTHER,NO APPARENT,  ,0.0,0.0,  ,  ,  ,  ,2015-08-04 17:32:00.000000,39.7338528732,-104.988844795
83397,83398,2015474836.0,201547483654410,5441,0,TRAF - ACCIDENT               ,2015-08-19 13:06:00,,2015-08-19 13:06:00,1600 BLOCK WAZEE ST,3140768.0,1699056.0,-104.99935628,39.7516489366,6.0,612.0,Union Station,1.0,0.0,BICYCLE WITH OTHER VEHICLE,  ,BICYCLE WITH OTHER VEHICLE,ON ROADWAY,DRIVEWAY ACCESS RELATED,STRAIGHT ON-LEVEL,DRY,DAY LIGHT,BICYCLE,SOUTH,GOING STRAIGHT,  ,NO APPARENT,OTHER,PASSENGER CAR/VAN,WEST,SLOWING,OTHER,NO APPARENT,  ,0.0,0.0,  ,  ,  ,  ,2015-08-19 13:06:00.000000,39.7516489366,-104.99935628
83419,83420,2015553656.0,201555365654410,5441,0,TRAF - ACCIDENT               ,2015-09-23 18:14:00,,2015-09-23 19:04:00,E 1OTH AVE/ N BROADWAY ST,,,,,6.0,,,1.0,0.0,FRONT TO SIDE WITH MV IN TRANSPORT,  ,FRONT TO SIDE WITH MV IN TRANSPORT,ON ROADWAY,AT INTERSECTION,STRAIGHT ON-GRADE,DRY,DAY LIGHT,SUV,WEST,MAKING LEFT TURN,FAILED TO YIELD ROW,OTHER,OTHER,BICYCLE,EAST,GOING STRAIGHT,OTHER,NO APPARENT,OTHER,0.0,0.0,  ,  ,  ,  ,2015-09-23 19:04:00.000000,,
83435,83436,2015554677.0,201555467754410,5441,0,TRAF - ACCIDENT               ,2015-09-24 07:40:00,,2015-09-24 08:03:00,E 21ST AVE / N YORK ST,3151906.0,1697863.0,-104.959769929,39.7481987874,6.0,622.0,City Park West,1.0,0.0,FRONT TO SIDE WITH MV IN TRANSPORT,  ,FRONT TO SIDE WITH MV IN TRANSPORT,ON ROADWAY,ALLEY RELATED,STRAIGHT ON-LEVEL,DRY,DAY LIGHT,BICYCLE,SOUTH,GOING STRAIGHT,OTHER,NO APPARENT,  ,PASSENGER CAR/VAN,WEST,GOING STRAIGHT,OTHER,NO APPARENT,  ,1.0,0.0,  ,  ,BICYCLE,  ,2015-09-24 08:03:00.000000,39.7481987874,-104.959769929
83466,83467,2015522715.0,201552271554410,5441,0,TRAF - ACCIDENT               ,2015-09-09 16:39:00,,2015-09-09 17:20:00,2500 BLK E 1ST AVE / S UNIVERSITY BLVD,,,,,3.0,,,1.0,0.0,BICYCLE WITH OTHER VEHICLE,  ,BICYCLE WITH OTHER VEHICLE,ON ROADWAY,AT INTERSECTION,STRAIGHT ON-LEVEL,DRY,DAY LIGHT,BICYCLE,WEST,GOING STRAIGHT,OTHER,DISTRACTED-OTHER,  ,SUV,NORTH,GOING STRAIGHT,OTHER,NO APPARENT,  ,0.0,0.0,  ,  ,  ,  ,2015-09-09 17:20:00.000000,,
83474,83475,2015522794.0,201552279454411,5441,1,TRAF - ACCIDENT - SBI         ,2015-09-09 17:30:00,,2015-09-09 17:34:00,15TH ST / CURTIS ST,3141715.0,1697092.0,-104.996027077,39.746243043,6.0,611.0,CBD,1.0,0.0,BICYCLE WITH OTHER VEHICLE,  ,BICYCLE WITH OTHER VEHICLE,ON ROADWAY,DRIVEWAY ACCESS RELATED,STRAIGHT ON-LEVEL,DRY,DAY LIGHT,PASSENGER CAR/VAN,SOUTHWEST,MAKING LEFT TURN,CARELESS DRIVING,DRIVER UNFAMILIAR WITH AREA,  ,BICYCLE,WEST,GOING STRAIGHT,OTHER,NO APPARENT,  ,0.0,0.0,  ,  ,  ,  ,2015-09-09 17:34:00.000000,39.746243043,-104.996027077
83526,83527,2015555000.0,201555500054410,5441,0,TRAF - ACCIDENT               ,2015-09-24 10:51:00,,2015-09-24 13:07:00,W 14TH AVE / N LIPAN ST,3140175.0,1694251.0,-105.001559012,39.7384673119,1.0,123.0,Lincoln Park,1.0,0.0,FRONT TO SIDE WITH MV IN TRANSPORT,BICYCLE WITH OTHER VEHICLE,BICYCLE WITH OTHER VEHICLE,ON ROADWAY,AT INTERSECTION,STRAIGHT ON-LEVEL,DRY,DAY LIGHT,PASSENGER CAR/VAN,EAST,MAKING LEFT TURN,FAILED TO YIELD ROW,OTHER,  ,BICYCLE,NORTH,GOING STRAIGHT,OTHER,NO APPARENT,  ,0.0,0.0,  ,  ,  ,  ,2015-09-24 13:07:00.000000,39.7384673119,-105.001559012
83565,83566,2015507466.0,201550746654410,5441,0,TRAF - ACCIDENT               ,2015-09-02 17:40:00,,2015-09-02 18:02:00,2600 BLOCK E 7TH AVE,3152906.0,1690069.0,-104.956379532,39.7267864985,2.0,213.0,Congress Park,1.0,0.0,PEDESTRIAN-OTHER,  ,PEDESTRIAN-OTHER,ON ROADWAY,AT INTERSECTION,STRAIGHT ON-LEVEL,DRY,DAY LIGHT,BICYCLE,WEST,MAKING LEFT TURN,FAILED TO YIELD ROW,NO APPARENT,OTHER,PASSENGER CAR/VAN,WEST,GOING STRAIGHT,OTHER,NO APPARENT,OTHER,0.0,0.0,  ,  ,  ,  ,2015-09-02 18:02:00.000000,39.7267864985,-104.956379532
83581,83582,2015523793.0,201552379354411,5441,1,TRAF - ACCIDENT - SBI         ,2015-09-10 06:50:00,,2015-09-10 07:11:00,5700 BLOCK W DARTMOUTH AVE,3124694.0,1664018.0,-105.057130238,39.6556909729,4.0,423.0,Bear Valley,1.0,0.0,BICYCLE WITH OTHER VEHICLE,CURB,BICYCLE WITH OTHER VEHICLE,ON ROADWAY,NON INTERSECTION,STRAIGHT ON-GRADE,DRY,DAY LIGHT,HIT AND RUN UNKNOWN,EAST,GOING STRAIGHT,CARELESS DRIVING,AGGRESSIVE DRIVING,  ,BICYCLE,EAST,GOING STRAIGHT,OTHER,NO APPARENT,  ,1.0,0.0,  ,  ,BICYCLE,  ,2015-09-10 07:11:00.000000,39.6556909729,-105.057130238
83616,83617,2015539749.0,201553974954410,5441,0,TRAF - ACCIDENT               ,2015-09-17 11:47:00,,2015-09-17 12:26:00,S DAHLIA ST / E FLORIDA AVE,3159933.0,1676472.0,-104.931699761,39.6893419022,3.0,322.0,Virginia Village,1.0,0.0,BICYCLE WITH OTHER VEHICLE,  ,BICYCLE WITH OTHER VEHICLE,ON ROADWAY,AT INTERSECTION,STRAIGHT ON-LEVEL,DRY,DAY LIGHT,PASSENGER CAR/VAN,SOUTH,MAKING LEFT TURN,FAILED TO YIELD ROW,OTHER,  ,BICYCLE,NORTH,GOING STRAIGHT,OTHER,NO APPARENT,  ,0.0,0.0,  ,  ,  ,  ,2015-09-17 12:26:00.000000,39.6893419022,-104.931699761
83617,83618,2015539808.0,201553980854410,5441,0,TRAF - ACCIDENT               ,2015-09-17 12:18:00,,2015-09-17 14:12:00,2900K W 26TH AVE,3133895.0,1700151.0,-105.023779344,39.7547563404,1.0,121.0,Jefferson Park,1.0,0.0,FRONT TO SIDE WITH MV IN TRANSPORT,BICYCLE WITH OTHER VEHICLE,BICYCLE WITH OTHER VEHICLE,ON ROADWAY,ALLEY RELATED,STRAIGHT ON-LEVEL,DRY,DAY LIGHT,BICYCLE,NORTH,GOING STRAIGHT,FAILED TO YIELD ROW,OTHER,  ,SUV,EAST,GOING STRAIGHT,OTHER,NO APPARENT,  ,0.0,0.0,  ,  ,  ,  ,2015-09-17 14:12:00.000000,39.7547563404,-105.023779344
83642,83643,2015556132.0,201555613254410,5441,0,TRAF - ACCIDENT               ,2015-09-24 17:45:00,,2015-09-24 20:02:00,W 32ND AVE / N RALEIGH ST,3128853.0,1702807.0,-105.041664118,39.7621187027,1.0,113.0,West Highland,1.0,0.0,BICYCLE WITH OTHER VEHICLE,  ,BICYCLE WITH OTHER VEHICLE,ON ROADWAY,AT INTERSECTION,HILLCREST,DRY,DAY LIGHT,PASSENGER CAR/VAN,WEST,MAKING LEFT TURN,FAILED TO YIELD ROW,OTHER,  ,BICYCLE,EAST,GOING STRAIGHT,OTHER,NO APPARENT,  ,0.0,0.0,  ,  ,  ,  ,2015-09-24 20:02:00.000000,39.7621187027,-105.041664118
83649,83650,2015556735.0,201555673554200,5420,0,TRAF - ACCIDENT - DUI/DUID    ,2015-09-25 02:08:00,,2015-09-25 02:59:00,1200 BLOCK N BROADWAY ST,3144260.0,1693184.0,-104.9870551,39.7354757768,6.0,623.0,Capitol Hill,1.0,0.0,FRONT TO SIDE WITH MV IN TRANSPORT,BICYCLE WITH OTHER VEHICLE,BICYCLE WITH OTHER VEHICLE,ON ROADWAY,NON INTERSECTION,STRAIGHT ON-GRADE,DRY,DARK-LIGHTED,BICYCLE,WEST,GOING STRAIGHT,CARELESS DRIVING,DUI/DWAI/DUID,  ,PASSENGER CAR/VAN,SOUTH,MAKING LEFT TURN,CARELESS DRIVING,DUI/DWAI/DUID,  ,0.0,0.0,  ,  ,  ,  ,2015-09-25 02:59:00.000000,39.7354757768,-104.9870551
83677,83678,2015523993.0,201552399354010,5401,0,TRAF - ACCIDENT - HIT & RUN   ,2015-09-10 08:44:00,,2015-09-10 08:55:00.000001,15TH ST / TREMONT PL,3143210.0,1695657.0,-104.990739212,39.7422808274,6.0,611.0,CBD,1.0,0.0,BICYCLE WITH OTHER VEHICLE,  ,BICYCLE WITH OTHER VEHICLE,ON ROADWAY,AT INTERSECTION,STRAIGHT ON-LEVEL,DRY,DAY LIGHT,HIT AND RUN UNKNOWN,NORTHWEST,MAKING LEFT TURN,CARELESS DRIVING,  ,  ,BICYCLE,WEST,GOING STRAIGHT,OTHER,  ,  ,0.0,0.0,  ,  ,  ,  ,2015-09-10 08:55:00.000001,39.7422808274,-104.990739212
83746,83747,2015557241.0,201555724154410,5441,0,TRAF - ACCIDENT               ,2015-09-25 09:43:00,,2015-09-25 09:44:00,600 BLOCK N BANNOCK ST,3143397.0,1689898.0,-104.99018917,39.7264684205,1.0,123.0,Lincoln Park,1.0,0.0,BICYCLE WITH OTHER VEHICLE,  ,  ,ON ROADWAY,DRIVEWAY ACCESS RELATED,STRAIGHT ON-LEVEL,DRY,DAY LIGHT,PASSENGER CAR/VAN,NORTH,MAKING RIGHT TURN,OTHER IMPROPER TURNS,NO APPARENT,  ,BICYCLE,NORTH,GOING STRAIGHT,OTHER,NO APPARENT,  ,0.0,0.0,  ,  ,  ,  ,2015-09-25 09:44:00.000000,39.7264684205,-104.99018917
83784,83785,2015509721.0,201550972154010,5401,0,TRAF - ACCIDENT - HIT & RUN   ,2015-09-03 17:00:00,,2015-09-03 17:40:00,15TH ST / CHAMPA ST,3141962.0,1696856.0,-104.995153367,39.7455914168,6.0,611.0,CBD,1.0,0.0,BICYCLE WITH OTHER VEHICLE,  ,BICYCLE WITH OTHER VEHICLE,ON ROADWAY,AT INTERSECTION,STRAIGHT ON-LEVEL,DRY,DAY LIGHT,BICYCLE,SOUTHWEST,GOING STRAIGHT,CARELESS DRIVING,AGGRESSIVE DRIVING,  ,PASSENGER CAR/VAN,SOUTHEAST,GOING STRAIGHT,OTHER,NO APPARENT,  ,0.0,0.0,  ,  ,  ,  ,2015-09-03 17:40:00.000000,39.7455914168,-104.995153367
83806,83807,2015525284.0,201552528454010,5401,0,TRAF - ACCIDENT - HIT & RUN   ,2015-09-10 17:00:00,,2015-09-10 21:00:00,E 6TH AVE / N QUEBEC ST,3167808.0,1689745.0,-104.903408079,39.7256403326,3.0,321.0,Hilltop,1.0,0.0,FRONT TO REAR WITH MV IN TRANSPORT,  ,FRONT TO REAR WITH MV IN TRANSPORT,ON ROADWAY,NON INTERSECTION,STRAIGHT ON-LEVEL,DRY,DAY LIGHT,PASSENGER CAR/VAN,EAST,GOING STRAIGHT,CARELESS DRIVING,AGGRESSIVE DRIVING,  ,BICYCLE,EAST,STOPPED IN TRAFFIC,OTHER,NO APPARENT,  ,0.0,0.0,  ,  ,  ,  ,2015-09-10 21:00:00.000000,39.7256403326,-104.903408079
83857,83858,2015560839.0,201556083954410,5441,0,TRAF - ACCIDENT               ,2015-09-26 20:55:00.000001,,2015-09-26 20:55:00.000001,4800 BLOCK W OHIO AVE,3126913.0,1680990.0,-105.04894997,39.7022533928,4.0,412.0,Westwood,1.0,1.0,PEDESTRIAN-OTHER,  ,PEDESTRIAN-OTHER,ON ROADWAY,NON INTERSECTION,STRAIGHT ON-LEVEL,DRY,DARK-UNLIGHTED,BICYCLE,EAST,GOING STRAIGHT,CARELESS DRIVING,AGGRESSIVE DRIVING,STANDING IN ROADWAY,  ,  ,  ,  ,  ,  ,0.0,0.0,  ,  ,  ,  ,2015-09-26 20:55:00.000001,39.7022533928,-105.04894997
83858,83859,2015560935.0,201556093554410,5441,0,TRAF - ACCIDENT               ,2015-09-26 21:47:00,,2015-09-26 21:47:00,1300 BLOCK 20TH ST,3142531.0,1699650.0,-104.993074483,39.7532527281,6.0,612.0,Union Station,1.0,0.0,BICYCLE WITH OTHER VEHICLE,  ,BICYCLE WITH OTHER VEHICLE,ON ROADWAY,NON INTERSECTION,STRAIGHT ON-LEVEL,DRY,DARK-LIGHTED,OTHER,EAST,GOING STRAIGHT,FAILED TO YIELD ROW,OTHER,  ,  ,  ,  ,  ,  ,  ,0.0,0.0,  ,  ,  ,  ,2015-09-26 21:47:00.000000,39.7532527281,-104.993074483
83954,83955,2015563219.0,201556321954410,5441,0,TRAF - ACCIDENT               ,2015-09-27 22:59:00,,2015-09-27 22:59:00,E 2ND AVE / N WASHINGTON ST,3146526.0,1687317.0,-104.979117676,39.71933434,3.0,311.0,Speer,1.0,0.0,OTHER OBJECT,  ,OTHER OBJECT,ON ROADWAY,AT INTERSECTION,STRAIGHT ON-LEVEL,DRY,DARK-LIGHTED,BICYCLE,SOUTH,GOING STRAIGHT,CARELESS DRIVING,OTHER,  ,  ,  ,  ,  ,  ,  ,0.0,0.0,  ,  ,  ,  ,2015-09-27 22:59:00.000000,39.71933434,-104.979117676
83988,83989,2015511092.0,201551109254410,5441,0,TRAF - ACCIDENT               ,2015-09-04 09:04:00,,2015-09-04 09:04:00,E 16TH AVE / N PENNSYLVANIA ST,3145925.0,1695452.0,-104.98108893,39.7416758891,6.0,621.0,North Capitol Hill,1.0,0.0,BICYCLE WITH OTHER VEHICLE,  ,  ,ON ROADWAY,AT INTERSECTION,STRAIGHT ON-GRADE,DRY,DAY LIGHT,SUV,EAST,MAKING LEFT TURN,FAILED TO YIELD ROW,NO APPARENT,OTHER,BICYCLE,WEST,GOING STRAIGHT,OTHER,NO APPARENT,OTHER,0.0,0.0,  ,  ,  ,  ,2015-09-04 09:04:00.000000,39.7416758891,-104.98108893
84016,84017,2015527275.0,201552727554200,5420,0,TRAF - ACCIDENT - DUI/DUID    ,2015-09-11 17:41:00,,2015-09-11 18:18:00,W BYERS PL / S BROADWAY ST,3144169.0,1684672.0,-104.987549387,39.7121100759,3.0,311.0,Speer,1.0,0.0,BICYCLE WITH OTHER VEHICLE,  ,BICYCLE WITH OTHER VEHICLE,ON ROADWAY,ALLEY RELATED,STRAIGHT ON-LEVEL,DRY,DAY LIGHT,BICYCLE,SOUTH,GOING STRAIGHT,CARELESS DRIVING,DUI/DWAI/DUID,  ,SUV,EAST,GOING STRAIGHT,OTHER,NO APPARENT,  ,0.0,0.0,  ,  ,  ,  ,2015-09-11 18:18:00.000000,39.7121100759,-104.987549387
84022,84023,2015527445.0,201552744554410,5441,0,TRAF - ACCIDENT               ,2015-09-11 19:12:00.000001,,2015-09-11 20:20:00,E COLFAX AVE / N ST PAUL ST,3154312.0,1694952.0,-104.951276101,39.7401680108,2.0,213.0,Congress Park,1.0,0.0,FRONT TO SIDE WITH MV IN TRANSPORT,  ,FRONT TO SIDE WITH MV IN TRANSPORT,ON ROADWAY,AT INTERSECTION,STRAIGHT ON-LEVEL,DRY,DAY LIGHT,BICYCLE,WEST,GOING STRAIGHT,FAILED TO YIELD ROW,NO APPARENT,  ,PASSENGER CAR/VAN,NORTH,GOING STRAIGHT,OTHER,NO APPARENT,  ,0.0,0.0,  ,  ,  ,  ,2015-09-11 20:20:00.000000,39.7401680108,-104.951276101
84077,84078,2015558225.0,201555822554411,5441,1,TRAF - ACCIDENT - SBI         ,2015-09-25 17:40:00,,2015-09-25 18:27:00.000001,500 BLOCK N WASHINGTON ST,3146686.0,1689117.0,-104.978512177,39.7242731744,3.0,311.0,Speer,1.0,0.0,BICYCLE WITH OTHER VEHICLE,  ,BICYCLE WITH OTHER VEHICLE,ON ROADWAY,DRIVEWAY ACCESS RELATED,STRAIGHT ON-LEVEL,DRY,DAY LIGHT,BICYCLE,SOUTH,GOING STRAIGHT,CARELESS DRIVING,AGGRESSIVE DRIVING,  ,PICKUP TRUCK/UTILITY VAN,SOUTH,MAKING LEFT TURN,OTHER,NO APPARENT,  ,1.0,0.0,  ,  ,BICYCLE,  ,2015-09-25 18:27:00.000001,39.7242731744,-104.978512177
84089,84090,2015511751.0,201551175154010,5401,0,TRAF - ACCIDENT - HIT & RUN   ,2015-09-04 15:00:00,,2015-09-04 15:28:00,W ALAMEDA AVE/I25 HWY OFF RAMP,,,,,3.0,,,1.0,0.0,BICYCLE WITH OTHER VEHICLE,  ,BICYCLE WITH OTHER VEHICLE,ON ROADWAY,HIGHWAY INTERCHANGE,STRAIGHT ON-GRADE,DRY,DAY LIGHT,PASSENGER CAR/VAN,SOUTH,MAKING RIGHT TURN,OTHER,NO APPARENT,  ,BICYCLE,WEST,GOING STRAIGHT,OTHER,NO APPARENT,  ,0.0,0.0,  ,  ,  ,  ,2015-09-04 15:28:00.000000,,
84177,84178,2015562104.0,201556210454010,5401,0,TRAF - ACCIDENT - HIT & RUN   ,2015-09-27 11:43:00,,2015-09-27 12:10:00,28TH ST / CURTIS ST,3146108.0,1701548.0,-104.980314189,39.758407566,2.0,211.0,Five Points,1.0,0.0,OTHER-NONCOLLISION,  ,OTHER-NONCOLLISION,ON ROADWAY,AT INTERSECTION,STRAIGHT ON-LEVEL,DRY,DAY LIGHT,PASSENGER CAR/VAN,EAST,GOING STRAIGHT,DISREGARD STOP SIGN,  ,  ,MOTORIZED BICYCLE,SOUTHEAST,GOING STRAIGHT,OTHER,  ,  ,0.0,0.0,  ,  ,  ,  ,2015-09-27 12:10:00.000000,39.758407566,-104.980314189
84390,84391,2015558500.0,201555850054200,5420,0,TRAF - ACCIDENT - DUI/DUID    ,2015-09-25 20:15:00,,2015-09-25 21:35:00,S MONACO ST / LEETSDALE DR,3165209.0,1681444.0,-104.912838537,39.7028989853,3.0,322.0,Washington Virginia Vale,1.0,0.0,BICYCLE WITH OTHER VEHICLE,  ,BICYCLE WITH OTHER VEHICLE,ON ROADWAY,AT INTERSECTION,STRAIGHT ON-LEVEL,DRY,DARK-LIGHTED,PASSENGER CAR/VAN,WEST,MAKING RIGHT TURN,CARELESS DRIVING,DUI/DWAI/DUID,  ,BICYCLE,EAST,GOING STRAIGHT,OTHER,NO APPARENT,  ,0.0,0.0,  ,  ,  ,  ,2015-09-25 21:35:00.000000,39.7028989853,-104.912838537
84411,84412,2015515148.0,201551514854410,5441,0,TRAF - ACCIDENT               ,2015-09-05 23:23:00.000001,,2015-09-05 23:50:00,15TH ST / WYNKOOP ST,3139993.0,1698799.0,-105.002117534,39.75095512,6.0,612.0,Union Station,1.0,0.0,FRONT TO SIDE WITH MV IN TRANSPORT,  ,FRONT TO SIDE WITH MV IN TRANSPORT,ON ROADWAY,AT INTERSECTION,STRAIGHT ON-LEVEL,DRY,DARK-LIGHTED,BICYCLE,NORTH,GOING STRAIGHT,LANE VIOLATION,NO APPARENT,  ,PASSENGER CAR/VAN,NORTH,GOING STRAIGHT,OTHER,NO APPARENT,  ,0.0,0.0,  ,  ,  ,  ,2015-09-05 23:50:00.000000,39.75095512,-105.002117534
84445,84446,2015531319.0,201553131954411,5441,1,TRAF - ACCIDENT - SBI         ,2015-09-13 13:50:00,,2015-09-13 13:50:00,1700 BLOCK N PENNSYLVANIA ST,3145947.0,1696325.0,-104.980992964,39.7440720828,6.0,621.0,North Capitol Hill,1.0,0.0,BICYCLE WITH OTHER VEHICLE,BICYCLE WITH OTHER VEHICLE,BICYCLE WITH OTHER VEHICLE,ON ROADWAY,DRIVEWAY ACCESS RELATED,STRAIGHT ON-LEVEL,DRY,DAY LIGHT,BICYCLE,EAST,OTHER,FAILED TO YIELD ROW,OTHER,  ,PASSENGER CAR/VAN,SOUTH,GOING STRAIGHT,OTHER,NO APPARENT,  ,0.0,0.0,  ,  ,  ,  ,2015-09-13 13:50:00.000000,39.7440720828,-104.980992964
84446,84447,2015531445.0,201553144554410,5441,0,TRAF - ACCIDENT               ,2015-09-13 15:15:00,,2015-09-13 15:49:00,E 25TH AVE / N GLENCOE ST,3161450.0,1699620.0,-104.92578956,39.7528613333,2.0,222.0,North Park Hill,1.0,0.0,FRONT TO SIDE WITH MV IN TRANSPORT,  ,FRONT TO SIDE WITH MV IN TRANSPORT,ON ROADWAY,AT INTERSECTION,STRAIGHT ON-LEVEL,DRY,DAY LIGHT,BICYCLE,EAST,GOING STRAIGHT,DISREGARD STOP SIGN,NO APPARENT,OTHER,PASSENGER CAR/VAN,NORTH,GOING STRAIGHT,OTHER,NO APPARENT,OTHER,0.0,0.0,  ,  ,  ,  ,2015-09-13 15:49:00.000000,39.7528613333,-104.92578956
84588,84589,2015548846.0,201554884654410,5441,0,TRAF - ACCIDENT               ,2015-09-21 15:30:00,,2015-09-21 15:35:00,E 17TH AVE / N MARION ST,3148440.0,1696035.0,-104.972133713,39.7432365497,6.0,622.0,City Park West,1.0,0.0,FRONT TO SIDE WITH MV IN TRANSPORT,  ,FRONT TO SIDE WITH MV IN TRANSPORT,ON ROADWAY,AT INTERSECTION,STRAIGHT ON-LEVEL,DRY,DAY LIGHT,PASSENGER CAR/VAN,SOUTH,MAKING LEFT TURN,FAILED TO YIELD ROW,NO APPARENT,  ,BICYCLE,NORTH,GOING STRAIGHT,OTHER,NO APPARENT,  ,0.0,0.0,  ,  ,  ,  ,2015-09-21 15:35:00.000000,39.7432365497,-104.972133713
84592,84593,2015548967.0,201554896754410,5441,0,TRAF - ACCIDENT               ,2015-09-21 16:00:00,,2015-09-21 16:09:00.000001,800 BLOCK E ALAMEDA AVE,3146999.0,1684295.0,-104.977498041,39.7110308789,3.0,312.0,Washington Park West,1.0,0.0,BICYCLE WITH OTHER VEHICLE,  ,BICYCLE WITH OTHER VEHICLE,ON ROADWAY,ALLEY RELATED,STRAIGHT ON-LEVEL,DRY,DAY LIGHT,BICYCLE,EAST,GOING STRAIGHT,OTHER,NO APPARENT,  ,PASSENGER CAR/VAN,SOUTH,STOPPED IN TRAFFIC,OTHER,NO APPARENT,  ,0.0,0.0,  ,  ,  ,  ,2015-09-21 16:09:00.000001,39.7110308789,-104.977498041
84602,84603,2015501984.0,201550198454410,5441,0,TRAF - ACCIDENT               ,2015-08-31 09:33:00,,2015-08-31 09:35:00,S GRANT ST / E BAYAUD AVE,3145215.0,1685639.0,-104.983811916,39.7147484335,3.0,311.0,Speer,1.0,0.0,FRONT TO SIDE WITH MV IN TRANSPORT,  ,FRONT TO SIDE WITH MV IN TRANSPORT,ON ROADWAY,AT INTERSECTION,STRAIGHT ON-LEVEL,DRY,DAY LIGHT,PASSENGER CAR/VAN,SOUTH,GOING STRAIGHT,CARELESS DRIVING,DISTRACTED CELLPHONE,  ,BICYCLE,WEST,GOING STRAIGHT,OTHER,NO APPARENT,  ,0.0,0.0,  ,  ,  ,  ,2015-08-31 09:35:00.000000,39.7147484335,-104.983811916
84612,84613,2015502237.0,201550223754410,5441,0,TRAF - ACCIDENT               ,2015-08-31 11:40:00,,2015-08-31 11:42:00.000001,E 16TH AVE / N PENNSYLVANIA ST,3145925.0,1695452.0,-104.98108893,39.7416758891,6.0,621.0,North Capitol Hill,1.0,0.0,BICYCLE WITH OTHER VEHICLE,  ,BICYCLE WITH OTHER VEHICLE,ON ROADWAY,AT INTERSECTION,STRAIGHT ON-LEVEL,DRY,DAY LIGHT,PASSENGER CAR/VAN,EAST,MAKING RIGHT TURN,CARELESS DRIVING,DISTRACTED-OTHER,  ,BICYCLE,EAST,GOING STRAIGHT,OTHER,NO APPARENT,  ,0.0,0.0,  ,  ,  ,  ,2015-08-31 11:42:00.000001,39.7416758891,-104.98108893
84616,84617,2015502427.0,201550242754410,5441,0,TRAF - ACCIDENT               ,2015-08-31 13:26:00,,2015-08-31 13:52:00,PARK AVEW / BLAKE ST,3143186.0,1701055.0,-104.990716946,39.7570996287,6.0,612.0,Five Points,1.0,0.0,FRONT TO FRONT WITH MV IN TRANSPORT,  ,FRONT TO FRONT WITH MV IN TRANSPORT,ON ROADWAY,AT INTERSECTION,STRAIGHT ON-LEVEL,DRY,DAY LIGHT,BICYCLE,SOUTH,GOING STRAIGHT,LANE VIOLATION,NO APPARENT,  ,SUV,WEST,MAKING RIGHT TURN,OTHER,NO APPARENT,  ,0.0,0.0,  ,  ,  ,  ,2015-08-31 13:52:00.000000,39.7570996287,-104.990716946
84666,84667,2015534118.0,201553411854010,5401,0,TRAF - ACCIDENT - HIT & RUN   ,2015-09-14 19:00:00,,2015-09-14 23:31:00,4600 BLOCK N GRANT ST,3145255.0,1709521.0,-104.983186797,39.7803079981,1.0,112.0,Globeville,1.0,0.0,BICYCLE WITH OTHER VEHICLE,  ,BICYCLE WITH OTHER VEHICLE,ON ROADWAY,NON INTERSECTION,STRAIGHT ON-LEVEL,DRY,DARK-LIGHTED,PASSENGER CAR/VAN,NORTH,GOING STRAIGHT,CARELESS DRIVING,DRIVER INEXPERIENCE,  ,BICYCLE,SOUTH,GOING STRAIGHT,OTHER,NO APPARENT,  ,0.0,0.0,  ,  ,  ,  ,2015-09-14 23:31:00.000000,39.7803079981,-104.983186797
